Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
57,58,1.1947,1.2407,0.83614,0.69125,0.47887,0.72404,0.56868,0.19939,1.3142,1.3124
58,59,1.1511,1.1873,0.91113,0.62562,0.47517,0.83122,0.55665,0.20403,1.3052,1.3793
59,60,1.199,1.267,0.92648,0.62069,0.47834,0.78807,0.52709,0.1655,1.3194,1.4125
60,61,1.1861,1.2207,0.84336,0.66308,0.46408,0.78349,0.5468,0.18887,1.3166,1.4038
61,62,1.1729,1.1919,0.91124,0.63547,0.48935,0.79019,0.54433,0.19135,1.2549,1.3425
62,63,1.1486,1.1676,0.85584,0.68726,0.49317,0.78627,0.54926,0.19941,1.2656,1.4257
63,64,1.1457,1.1954,0.81606,0.67751,0.49602,0.78169,0.55665,0.21648,1.2725,1.4988
64,65,1.1386,1.1598,0.89551,0.67548,0.48981,0.78494,0.56636,0.18666,1.3419,1.4118
65,66,1.1485,1.1817,0.91757,0.64778,0.49653,0.81833,0.57635,0.21889,1.2495,1.3502
66,67,1.1308,1.1783,0.9003,0.67734,0.48083,0.76624,0.54901,0.18248,1.2708,1.2928
67,68,1.1364,1.1602,0.85275,0.67041,0.49524,0.75744,0.58454,0.20947,1.2657,1.2387
68,69,1.1526,1.1584,0.90141,0.63055,0.49086,0.82929,0.53844,0.19479,1.2547,1.2999
69,70,1.1567,1.1748,0.87642,0.66256,0.4839,0.75444,0.5665,0.1921,1.3108,1.3679
70,71,1.1118,1.1363,0.82967,0.65986,0.49156,0.72517,0.57191,0.19863,1.2263,1.4391
71,72,1.1131,1.157,0.83097,0.70197,0.50521,0.78909,0.5665,0.21837,1.2418,1.3619
72,73,1.1464,1.1598,0.87744,0.65025,0.48522,0.79751,0.56158,0.19435,1.2533,1.3598
73,74,1.1378,1.1655,0.86298,0.65153,0.49769,0.85315,0.54377,0.20755,1.2536,1.2836
74,75,1.1041,1.1413,0.87238,0.67241,0.50775,0.80915,0.55348,0.20954,1.2495,1.3165
75,76,1.1335,1.1941,0.91503,0.66256,0.49957,0.77001,0.5525,0.1979,1.2733,1.3633
76,77,1.1209,1.151,0.89725,0.67241,0.50817,0.75416,0.5665,0.2033,1.1841,1.2996
77,78,1.0857,1.1458,0.868,0.64788,0.49729,0.79915,0.54187,0.19975,1.2299,1.3683
78,79,1.1102,1.1087,0.84658,0.66597,0.50645,0.79095,0.54984,0.21531,1.2082,1.2612
79,80,1.1207,1.1317,0.906,0.66471,0.53026,0.78179,0.57358,0.23258,1.2209,1.2342
80,81,1.0822,1.0763,0.84785,0.70443,0.52202,0.84187,0.57698,0.21808,1.1759,1.2679
81,82,1.1091,1.1473,0.86915,0.68719,0.50298,0.75667,0.58209,0.2068,1.2173,1.2883
82,83,1.0971,1.1374,0.8692,0.6798,0.49162,0.7803,0.56158,0.19811,1.2335,1.3375
83,84,1.063,1.1197,0.92838,0.63857,0.50063,0.80531,0.55015,0.19672,1.2136,1.2701
84,85,1.095,1.0964,0.83866,0.69138,0.49612,0.73701,0.60052,0.21915,1.247,1.3422
85,86,1.0844,1.1038,0.85193,0.6798,0.50813,0.71467,0.56758,0.19129,1.2081,1.3562
86,87,1.0614,1.1152,0.80681,0.69948,0.50473,0.71096,0.56948,0.19326,1.2431,1.3135
87,88,1.1035,1.1277,0.8928,0.65645,0.50176,0.73534,0.53941,0.18979,1.2807,1.3348
88,89,1.0677,1.1098,0.87175,0.70197,0.52924,0.81002,0.57759,0.21393,1.2002,1.2759
89,90,1.073,1.0984,0.86737,0.69263,0.50251,0.75141,0.57389,0.19553,1.2961,1.3243
90,91,1.0681,1.092,0.84735,0.7069,0.52025,0.73996,0.60591,0.20965,1.2141,1.3329
91,92,1.0833,1.1301,0.92804,0.69883,0.51768,0.79618,0.59653,0.21244,1.1835,1.2819
92,93,1.0655,1.087,0.80567,0.68227,0.5069,0.70617,0.57389,0.1977,1.1977,1.2937
93,94,1.0556,1.0809,0.899,0.67964,0.50113,0.76872,0.58128,0.21084,1.2148,1.2019
94,95,1.0662,1.103,0.9003,0.69458,0.51989,0.79099,0.60099,0.20445,1.1995,1.2513
95,96,1.0343,1.0827,0.88344,0.70443,0.51044,0.76654,0.60837,0.2042,1.2118,1.2371
96,97,1.0455,1.0847,0.89569,0.67677,0.51102,0.81472,0.57389,0.21157,1.2513,1.2532
97,98,1.0425,1.0516,0.90321,0.67488,0.51233,0.80104,0.56897,0.20865,1.1925,1.2491
98,99,1.028,1.0675,0.86898,0.6698,0.51821,0.79219,0.57277,0.20497,1.2026,1.2816
99,100,1.0396,1.0837,0.85979,0.68227,0.51266,0.76242,0.60072,0.20718,1.2093,1.2456
100,101,1.0667,1.0997,0.89324,0.65517,0.51441,0.79427,0.56106,0.20612,1.1983,1.242
101,102,1.0485,1.1146,0.88632,0.67213,0.51227,0.75689,0.57882,0.19737,1.2088,1.2421
102,103,1.02,1.0446,0.86153,0.68966,0.51622,0.75144,0.59113,0.22678,1.2062,1.318
103,104,1.0541,1.0764,0.90251,0.66125,0.50789,0.78115,0.57143,0.20593,1.2075,1.2778
104,105,1.0505,1.0629,0.88555,0.67734,0.52576,0.80863,0.57242,0.22983,1.1842,1.2514
105,106,1.0264,1.0856,0.85213,0.68966,0.53211,0.77106,0.57882,0.19943,1.1624,1.2486
106,107,1.0307,1.1079,0.91297,0.68966,0.52898,0.77759,0.59113,0.1998,1.2011,1.2985
107,108,1.0431,1.0556,0.863,0.67734,0.52289,0.82706,0.5468,0.21671,1.2095,1.3013
108,109,1.0168,1.0755,0.84848,0.68719,0.52297,0.71074,0.58867,0.21809,1.2072,1.3177
109,110,1.0226,1.0894,0.83713,0.70197,0.5257,0.77892,0.5554,0.19883,1.164,1.2436
110,111,0.97973,0.99551,0.85871,0.68862,0.53368,0.73793,0.60591,0.23942,1.1748,1.3024
111,112,1.0366,1.0845,0.89675,0.71675,0.53396,0.74381,0.5864,0.19885,1.2048,1.2551
112,113,1.0048,1.0247,0.88025,0.70613,0.53464,0.7521,0.60837,0.22194,1.1902,1.2431
113,114,1.0378,1.0469,0.81225,0.69264,0.51672,0.68429,0.58128,0.20223,1.1979,1.3172
114,115,1.0081,1.0529,0.84932,0.69704,0.52325,0.77659,0.56404,0.19957,1.1888,1.349
115,116,1.0182,1.0503,0.90205,0.66749,0.52309,0.7634,0.54836,0.19305,1.1868,1.2556
116,117,1.0142,1.0329,0.85966,0.69951,0.53761,0.77287,0.59507,0.21858,1.1772,1.2655
117,118,1.0153,1.0235,0.87423,0.7266,0.54176,0.73338,0.62069,0.23073,1.1896,1.3097
