Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
249,250,0.78958,0.77447,0.88262,0.72232,0.57601,0.7703,0.58621,0.22696,1.126,1.2959
250,251,0.77874,0.81074,0.87929,0.73562,0.57543,0.73209,0.61247,0.22725,1.1439,1.2921
251,252,0.77089,0.77681,0.87484,0.72167,0.5688,0.71663,0.60421,0.23105,1.134,1.2909
252,253,0.77299,0.77291,0.89047,0.71429,0.56689,0.73553,0.59113,0.22154,1.1353,1.3071
253,254,0.76097,0.78302,0.92395,0.71818,0.57302,0.76416,0.60591,0.22454,1.1343,1.3316
254,255,0.78527,0.77025,0.91385,0.7069,0.57336,0.76969,0.59606,0.22719,1.1301,1.3157
255,256,0.76463,0.74915,0.89697,0.70764,0.57392,0.75324,0.59396,0.23198,1.1177,1.2883
256,257,0.77532,0.82942,0.87098,0.73158,0.57168,0.75142,0.60837,0.2314,1.1173,1.2895
257,258,0.75421,0.76516,0.91245,0.71921,0.57204,0.74718,0.59689,0.22932,1.1116,1.2866
258,259,0.77279,0.7853,0.91008,0.73645,0.57654,0.77089,0.61576,0.23274,1.1188,1.2856
259,260,0.78124,0.77792,0.89187,0.75165,0.58324,0.77502,0.63638,0.23674,1.1253,1.2718
260,261,0.7882,0.85493,0.89493,0.75525,0.58259,0.75556,0.61823,0.23576,1.1212,1.2677
261,262,0.75411,0.73371,0.8869,0.74877,0.57981,0.78345,0.60837,0.236,1.1299,1.2997
262,263,0.76826,0.77366,0.87086,0.74742,0.57587,0.78558,0.5936,0.23113,1.1301,1.3147
263,264,0.77876,0.77698,0.89089,0.74408,0.5735,0.79751,0.59113,0.23465,1.1255,1.312
264,265,0.76665,0.78055,0.91532,0.74551,0.57605,0.78947,0.59606,0.23141,1.1227,1.2831
265,266,0.75227,0.80524,0.90117,0.74113,0.57753,0.74706,0.61835,0.2391,1.1289,1.2775
266,267,0.77407,0.78584,0.89504,0.73516,0.57443,0.76392,0.62069,0.23943,1.1406,1.2832
267,268,0.75835,0.79935,0.85901,0.76537,0.57818,0.73316,0.64778,0.24128,1.1302,1.2868
268,269,0.753,0.78311,0.90675,0.73399,0.58143,0.77962,0.62737,0.24635,1.1374,1.3021
269,270,0.74637,0.78657,0.89676,0.7266,0.56992,0.78554,0.61823,0.24381,1.1376,1.3092
270,271,0.73305,0.77187,0.90664,0.7266,0.57172,0.79146,0.61694,0.24333,1.1236,1.3033
271,272,0.75592,0.77962,0.90083,0.73831,0.56651,0.76747,0.62808,0.23453,1.1281,1.3084
272,273,0.72764,0.73148,0.91635,0.72852,0.57019,0.78315,0.62315,0.23499,1.124,1.3066
273,274,0.7502,0.74822,0.91941,0.73059,0.57244,0.7761,0.6133,0.23073,1.1288,1.3235
274,275,0.72218,0.71473,0.91826,0.71945,0.57088,0.79903,0.59113,0.22695,1.1336,1.3309
275,276,0.75549,0.80566,0.91745,0.72414,0.56969,0.76588,0.60099,0.23283,1.1292,1.3188
276,277,0.76503,0.78462,0.87702,0.73771,0.57109,0.7568,0.59606,0.22982,1.1339,1.3041
277,278,0.76451,0.73932,0.88577,0.74631,0.5697,0.74166,0.62227,0.23036,1.13,1.2902
278,279,0.75706,0.77416,0.89335,0.72211,0.56502,0.75331,0.60172,0.2275,1.1264,1.2761
279,280,0.75764,0.74957,0.88879,0.70868,0.56848,0.79967,0.57389,0.23017,1.1273,1.2746
280,281,0.73425,0.75504,0.92607,0.69458,0.57361,0.78134,0.58621,0.2316,1.1251,1.2863
281,282,0.75273,0.7898,0.92472,0.69458,0.57365,0.79607,0.58867,0.22892,1.1126,1.2945
282,283,0.71257,0.73502,0.92598,0.7087,0.57449,0.78769,0.60311,0.2316,1.1148,1.2931
283,284,0.73388,0.75886,0.91699,0.7069,0.57061,0.76043,0.58621,0.23048,1.1254,1.3107
284,285,0.73431,0.75779,0.92923,0.69704,0.56313,0.76893,0.57635,0.22573,1.1298,1.3213
285,286,0.75431,0.74077,0.9099,0.70197,0.55619,0.73578,0.57143,0.22108,1.1363,1.3319
286,287,0.72522,0.70734,0.93158,0.69458,0.55712,0.7534,0.56439,0.21138,1.1381,1.3416
287,288,0.72494,0.7093,0.93647,0.68979,0.55699,0.76614,0.56485,0.21356,1.1399,1.3319
288,289,0.73456,0.73768,0.91363,0.7069,0.56384,0.75243,0.5839,0.22189,1.1365,1.3258
289,290,0.72792,0.75385,0.92009,0.71429,0.5665,0.76032,0.58867,0.22711,1.1481,1.3043
290,291,0.71689,0.77388,0.92038,0.7118,0.56131,0.77451,0.57635,0.22488,1.144,1.302
291,292,0.72921,0.75605,0.89915,0.7027,0.56045,0.73607,0.59113,0.22517,1.1376,1.2925
292,293,0.72248,0.6899,0.92307,0.69951,0.56532,0.73921,0.59344,0.22565,1.1313,1.2962
293,294,0.73158,0.71736,0.93156,0.69704,0.56392,0.76694,0.57389,0.22605,1.1307,1.3129
294,295,0.72153,0.76017,0.9281,0.70197,0.57067,0.72935,0.59113,0.22196,1.1278,1.3014
295,296,0.71556,0.73355,0.92545,0.70325,0.57415,0.75798,0.57389,0.22607,1.1179,1.2916
296,297,0.73745,0.72035,0.90084,0.71607,0.57619,0.7514,0.59606,0.23075,1.1107,1.2871
297,298,0.72654,0.74921,0.90899,0.72167,0.57713,0.74851,0.60114,0.23516,1.1102,1.2822
298,299,0.71285,0.70951,0.90348,0.71921,0.57542,0.75922,0.60099,0.23528,1.1047,1.2797
299,300,0.73062,0.74515,0.90779,0.72748,0.57489,0.75768,0.61084,0.23238,1.1005,1.2747
300,301,0.70751,0.7022,0.91223,0.71677,0.5747,0.76506,0.60157,0.23113,1.1084,1.2927
301,302,0.7304,0.76001,0.91519,0.72167,0.57788,0.76522,0.60345,0.22997,1.1075,1.3075
302,303,0.72764,0.74118,0.89768,0.73472,0.58047,0.75327,0.61576,0.23183,1.1054,1.3178
303,304,0.72,0.72318,0.92138,0.72162,0.58132,0.75556,0.60143,0.23012,1.1025,1.3338
304,305,0.69592,0.67142,0.91961,0.71675,0.58652,0.77402,0.60345,0.23727,1.1047,1.3442
305,306,0.69838,0.72519,0.91092,0.73041,0.58496,0.7588,0.61215,0.23582,1.0994,1.3364
306,307,0.7094,0.70091,0.92058,0.7423,0.5848,0.76656,0.6147,0.23445,1.109,1.3433
307,308,0.69497,0.70934,0.90869,0.74631,0.58554,0.76056,0.60837,0.23225,1.1127,1.3368
308,309,0.71303,0.72235,0.9001,0.73233,0.58212,0.7623,0.60033,0.23267,1.1167,1.336
309,310,0.6957,0.71469,0.91609,0.72609,0.58379,0.76695,0.60793,0.23698,1.1177,1.3279
310,311,0.71948,0.72853,0.92054,0.73153,0.58293,0.7667,0.60837,0.23602,1.1158,1.3144
311,312,0.71196,0.72006,0.91974,0.73389,0.57943,0.77144,0.61084,0.23141,1.1171,1.3084
312,313,0.68706,0.70424,0.90781,0.7266,0.57871,0.76019,0.61084,0.23081,1.1247,1.3158
313,314,0.70651,0.70437,0.91596,0.72481,0.57539,0.77184,0.61657,0.23249,1.1247,1.3297
314,315,0.69782,0.7128,0.90494,0.72691,0.57478,0.76626,0.61366,0.22938,1.1232,1.3432
315,316,0.71129,0.70425,0.89534,0.73645,0.57512,0.77433,0.62541,0.2292,1.1285,1.36
316,317,0.70947,0.76264,0.90057,0.74138,0.57586,0.77467,0.61816,0.23121,1.1202,1.357
317,318,0.69673,0.67645,0.91326,0.73892,0.57926,0.78328,0.633,0.2359,1.1125,1.3484
318,319,0.71475,0.69043,0.90811,0.73022,0.57717,0.77427,0.6133,0.23133,1.1116,1.3562
319,320,0.71664,0.68157,0.90809,0.73008,0.5821,0.76876,0.61823,0.23171,1.1137,1.3575
320,321,0.69044,0.71184,0.91318,0.73645,0.58017,0.77612,0.62562,0.23018,1.1226,1.3627
321,322,0.70862,0.7339,0.91365,0.74138,0.5805,0.77402,0.62808,0.23057,1.1227,1.3662
322,323,0.69902,0.70244,0.92741,0.74631,0.58018,0.78796,0.633,0.22931,1.1291,1.3646
323,324,0.67621,0.68791,0.92915,0.74291,0.58043,0.78816,0.63233,0.22694,1.128,1.3805
324,325,0.68661,0.70044,0.92154,0.74631,0.57682,0.7745,0.62808,0.22306,1.1177,1.3722
325,326,0.6847,0.73717,0.92003,0.7368,0.57727,0.78171,0.62625,0.22647,1.1189,1.3804
326,327,0.70217,0.70133,0.92856,0.73632,0.57982,0.78294,0.62191,0.22566,1.1205,1.3824
327,328,0.72483,0.71441,0.93262,0.73399,0.58166,0.78235,0.61976,0.22867,1.1221,1.3915
328,329,0.69973,0.72727,0.92746,0.73645,0.58341,0.78194,0.62069,0.22978,1.1185,1.3961
329,330,0.68838,0.70224,0.92767,0.74384,0.5819,0.7777,0.62041,0.23015,1.1273,1.3931
330,331,0.67549,0.66157,0.92327,0.74097,0.57999,0.77279,0.61994,0.23451,1.1215,1.3816
331,332,0.67368,0.70366,0.93751,0.7266,0.57925,0.78844,0.61084,0.23604,1.1227,1.3807
332,333,0.68806,0.71382,0.93546,0.72906,0.58234,0.79277,0.61248,0.23961,1.1162,1.3868
333,334,0.68937,0.68462,0.93645,0.72594,0.57925,0.79699,0.61576,0.23466,1.1216,1.3884
334,335,0.67927,0.66803,0.94199,0.71675,0.5807,0.7882,0.60496,0.23375,1.1158,1.3703
335,336,0.66649,0.67982,0.91646,0.72951,0.58316,0.77024,0.60278,0.23648,1.1159,1.3893
336,337,0.66843,0.68661,0.91878,0.72906,0.58487,0.76312,0.60099,0.23681,1.1157,1.3844
337,338,0.6796,0.68981,0.91737,0.7266,0.58222,0.78064,0.60837,0.23447,1.1195,1.381
338,339,0.6587,0.64494,0.92222,0.73014,0.58597,0.77462,0.60952,0.23255,1.1174,1.3802
339,340,0.65935,0.658,0.93303,0.72058,0.58731,0.78392,0.60345,0.23436,1.118,1.3846
340,341,0.70264,0.68917,0.93548,0.72167,0.58663,0.78197,0.60345,0.23526,1.1154,1.3837
341,342,0.65425,0.65253,0.93345,0.72555,0.59131,0.78025,0.60591,0.23698,1.113,1.3833
342,343,0.68572,0.69169,0.92561,0.73551,0.5879,0.77408,0.60763,0.23452,1.1184,1.3862
343,344,0.66312,0.65367,0.91833,0.74775,0.58862,0.76478,0.62315,0.23877,1.1114,1.3826
344,345,0.68443,0.71069,0.90507,0.75148,0.59079,0.75378,0.62587,0.23668,1.1104,1.3829
345,346,0.65134,0.66388,0.91558,0.74801,0.59026,0.76545,0.62315,0.23483,1.1088,1.3862
346,347,0.66505,0.67515,0.91398,0.74631,0.58876,0.76618,0.62562,0.23277,1.1059,1.385
347,348,0.67562,0.66996,0.91055,0.75214,0.58901,0.76486,0.633,0.23475,1.1049,1.3874
348,349,0.67139,0.71112,0.90462,0.74757,0.58912,0.7612,0.6281,0.2388,1.1063,1.3908
349,350,0.65725,0.64061,0.90463,0.74759,0.58671,0.76209,0.62808,0.23679,1.1065,1.3789
350,351,0.67458,0.69058,0.92048,0.74384,0.58442,0.77309,0.62808,0.2378,1.1154,1.4022
351,352,0.67044,0.70526,0.90447,0.74626,0.58102,0.77908,0.6254,0.23723,1.1198,1.4015
352,353,0.66547,0.66292,0.90206,0.74861,0.58168,0.76674,0.63054,0.23568,1.1185,1.3964
353,354,0.67462,0.67581,0.89512,0.73892,0.58223,0.76492,0.62808,0.23624,1.115,1.3918
354,355,0.66168,0.65093,0.91712,0.73592,0.58464,0.76218,0.62315,0.23547,1.1187,1.3916
355,356,0.66908,0.6703,0.90411,0.73892,0.58501,0.75112,0.61699,0.23674,1.1199,1.3864
356,357,0.66086,0.67581,0.90399,0.74138,0.58644,0.75287,0.63031,0.23479,1.1153,1.3742
357,358,0.65129,0.64376,0.90148,0.74376,0.58887,0.74256,0.62069,0.23287,1.1167,1.3679
358,359,0.66514,0.64795,0.89964,0.74877,0.5884,0.74803,0.62562,0.23492,1.1158,1.3633
359,360,0.67245,0.67712,0.90657,0.75123,0.58687,0.74748,0.62562,0.23213,1.1142,1.3563
360,361,0.66087,0.67684,0.91591,0.75117,0.58884,0.74843,0.63054,0.22685,1.1156,1.348
361,362,0.65276,0.67361,0.91605,0.75123,0.58717,0.75435,0.62021,0.22469,1.1137,1.3377
362,363,0.65822,0.64146,0.92104,0.74704,0.58944,0.76313,0.61896,0.22689,1.1099,1.3346
363,364,0.65949,0.70571,0.91529,0.74513,0.58677,0.76691,0.624,0.22907,1.1077,1.3318
364,365,0.66138,0.66683,0.90995,0.74668,0.59032,0.76418,0.62069,0.23124,1.1015,1.329
365,366,0.65429,0.648,0.90184,0.74673,0.59158,0.76428,0.6133,0.23059,1.1052,1.3298
366,367,0.64371,0.67414,0.90429,0.74472,0.59136,0.76217,0.61567,0.22984,1.1037,1.3315
367,368,0.65075,0.66244,0.91541,0.7463,0.58901,0.76629,0.62184,0.23043,1.1043,1.3312
368,369,0.64019,0.67069,0.90867,0.74631,0.59063,0.76406,0.62215,0.23031,1.1025,1.3311
