,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,31,1.3301,1.4275,0.87844,0.84424,0.81595,0.59852,0.69677,0.43243,0.74433,0.48768,0.5221,0.16804,1.4039,1.5604,1.053,0.83293,0.0094258,0.0094258,0.0094258
31,32,1.3249,1.4453,0.90327,0.85061,0.78907,0.60099,0.67714,0.4121,0.66656,0.49731,0.49922,0.16154,1.438,1.4833,1.1302,0.83451,0.009406,0.009406,0.009406
32,33,1.3587,1.4266,0.90543,0.8417,0.81099,0.5936,0.68536,0.43506,0.73162,0.51031,0.54849,0.16828,1.3947,1.4628,1.0552,0.82564,0.0093862,0.0093862,0.0093862
33,34,1.3276,1.3989,0.88931,0.84181,0.8604,0.60345,0.70891,0.45514,0.79534,0.52463,0.58201,0.21148,1.3463,1.4728,1.0269,0.8232,0.0093664,0.0093664,0.0093664
34,35,1.3447,1.3471,0.8912,0.83111,0.85669,0.57421,0.68775,0.41521,0.76933,0.50493,0.55107,0.17716,1.4622,1.5562,1.1236,0.83038,0.0093466,0.0093466,0.0093466
35,36,1.3317,1.4181,0.8652,0.84103,0.88627,0.57581,0.7049,0.44995,0.76874,0.49945,0.5307,0.17907,1.3958,1.5438,1.0611,0.82912,0.0093268,0.0093268,0.0093268
36,37,1.3713,1.4657,0.88774,0.84755,0.74419,0.62562,0.69294,0.4282,0.85259,0.47537,0.56898,0.19874,1.3981,1.4866,1.0807,0.8301,0.009307,0.009307,0.009307
37,38,1.2837,1.3361,0.81379,0.83522,0.87299,0.60944,0.70366,0.4467,0.7495,0.52324,0.55622,0.17622,1.3776,1.4305,0.98421,0.831,0.0092872,0.0092872,0.0092872
38,39,1.261,1.3317,0.8062,0.83252,0.798,0.64039,0.71787,0.41568,0.69864,0.54187,0.55148,0.17928,1.4435,1.5537,1.0527,0.83102,0.0092674,0.0092674,0.0092674
39,40,1.2922,1.3833,0.83425,0.83295,0.89727,0.62388,0.74031,0.44878,0.78232,0.53996,0.59353,0.19307,1.396,1.4931,0.96476,0.82908,0.0092476,0.0092476,0.0092476
40,41,1.2999,1.3607,0.82869,0.83194,0.84933,0.62808,0.72723,0.45476,0.75416,0.52891,0.54913,0.18894,1.3619,1.5514,0.98031,0.82773,0.0092278,0.0092278,0.0092278
41,42,1.2942,1.3775,0.81803,0.82871,0.87942,0.633,0.75828,0.47069,0.75838,0.53695,0.5875,0.20201,1.3154,1.4342,0.92626,0.82388,0.009208,0.009208,0.009208
42,43,1.2776,1.3703,0.81158,0.83048,0.84301,0.62162,0.71793,0.44368,0.72994,0.53448,0.55954,0.17571,1.3816,1.4266,0.95897,0.83128,0.0091882,0.0091882,0.0091882
43,44,1.2582,1.2954,0.80588,0.83816,0.87873,0.60679,0.72975,0.46881,0.79301,0.54731,0.62152,0.20887,1.3301,1.4183,0.96898,0.82549,0.0091684,0.0091684,0.0091684
44,45,1.2246,1.2596,0.77398,0.82823,0.83494,0.66502,0.73844,0.45542,0.78695,0.53677,0.59047,0.1864,1.4038,1.534,0.93112,0.82932,0.0091486,0.0091486,0.0091486
45,46,1.2615,1.2849,0.79524,0.82747,0.89978,0.64132,0.74459,0.47476,0.78684,0.54433,0.57536,0.19066,1.3014,1.4722,0.89505,0.82166,0.0091288,0.0091288,0.0091288
46,47,1.2605,1.3061,0.79265,0.84381,0.79482,0.63926,0.71991,0.44605,0.68543,0.56404,0.56785,0.1844,1.3757,1.4716,0.95049,0.82408,0.009109,0.009109,0.009109
47,48,1.2581,1.3073,0.78786,0.83571,0.87711,0.62562,0.72749,0.46018,0.79623,0.53896,0.59809,0.20781,1.3223,1.4365,0.9989,0.82259,0.0090892,0.0090892,0.0090892
48,49,1.2163,1.3016,0.75267,0.82959,0.861,0.65603,0.75963,0.47217,0.76074,0.55172,0.58737,0.20381,1.3145,1.5201,0.89191,0.82295,0.0090694,0.0090694,0.0090694
49,50,1.2266,1.2576,0.75786,0.83145,0.83865,0.633,0.73585,0.45656,0.70486,0.53202,0.56214,0.18685,1.3366,1.4511,0.93427,0.82408,0.0090496,0.0090496,0.0090496
50,51,1.1902,1.2578,0.72779,0.82702,0.87298,0.64532,0.74842,0.4659,0.76959,0.55943,0.58798,0.20403,1.317,1.4126,0.95004,0.81991,0.0090298,0.0090298,0.0090298
51,52,1.1912,1.2219,0.73148,0.83021,0.93061,0.63547,0.75764,0.48008,0.80822,0.55015,0.58197,0.20652,1.2886,1.4141,0.88626,0.81938,0.00901,0.00901,0.00901
52,53,1.2034,1.2576,0.71925,0.82105,0.88828,0.64625,0.75675,0.48041,0.77364,0.57389,0.59667,0.18687,1.273,1.3615,0.87224,0.81869,0.0089902,0.0089902,0.0089902
53,54,1.2115,1.2363,0.74716,0.82484,0.79609,0.6601,0.74393,0.46979,0.81429,0.50758,0.59437,0.19983,1.2792,1.3646,0.96219,0.82035,0.0089704,0.0089704,0.0089704
54,55,1.1707,1.2343,0.72283,0.82114,0.89479,0.64778,0.75935,0.4833,0.76956,0.55932,0.60939,0.21181,1.3118,1.4242,0.929,0.82403,0.0089506,0.0089506,0.0089506
55,56,1.1902,1.2758,0.72485,0.81982,0.86611,0.60591,0.71262,0.43735,0.75052,0.51128,0.52679,0.16425,1.394,1.5292,1.0373,0.82294,0.0089308,0.0089308,0.0089308
56,57,1.1921,1.2363,0.71039,0.82918,0.85491,0.63858,0.72486,0.45993,0.84708,0.5468,0.61276,0.19823,1.3085,1.3634,0.97944,0.82271,0.008911,0.008911,0.008911
57,58,1.1947,1.2407,0.7182,0.82281,0.83614,0.69125,0.77412,0.47887,0.72404,0.56868,0.58097,0.19939,1.3142,1.3124,0.86055,0.82074,0.0088912,0.0088912,0.0088912
58,59,1.1511,1.1873,0.68577,0.81805,0.91113,0.62562,0.74047,0.47517,0.83122,0.55665,0.61183,0.20403,1.3052,1.3793,0.98859,0.82076,0.0088714,0.0088714,0.0088714
59,60,1.199,1.267,0.7247,0.82441,0.92648,0.62069,0.75587,0.47834,0.78807,0.52709,0.57776,0.1655,1.3194,1.4125,0.91529,0.82601,0.0088516,0.0088516,0.0088516
60,61,1.1861,1.2207,0.69325,0.82549,0.84336,0.66308,0.75429,0.46408,0.78349,0.5468,0.59548,0.18887,1.3166,1.4038,0.8936,0.81946,0.0088318,0.0088318,0.0088318
61,62,1.1729,1.1919,0.71944,0.82246,0.91124,0.63547,0.75041,0.48935,0.79019,0.54433,0.59283,0.19135,1.2549,1.3425,0.86933,0.81661,0.008812,0.008812,0.008812
62,63,1.1486,1.1676,0.67627,0.82253,0.85584,0.68726,0.77832,0.49317,0.78627,0.54926,0.6,0.19941,1.2656,1.4257,0.85086,0.817,0.0087922,0.0087922,0.0087922
63,64,1.1457,1.1954,0.66873,0.82529,0.81606,0.67751,0.75628,0.49602,0.78169,0.55665,0.61986,0.21648,1.2725,1.4988,0.88068,0.81984,0.0087724,0.0087724,0.0087724
64,65,1.1386,1.1598,0.6619,0.81224,0.89551,0.67548,0.77702,0.48981,0.78494,0.56636,0.60969,0.18666,1.3419,1.4118,0.84466,0.8222,0.0087526,0.0087526,0.0087526
65,66,1.1485,1.1817,0.67215,0.82731,0.91757,0.64778,0.77488,0.49653,0.81833,0.57635,0.64246,0.21889,1.2495,1.3502,0.88478,0.81823,0.0087328,0.0087328,0.0087328
66,67,1.1308,1.1783,0.66073,0.81863,0.9003,0.67734,0.76747,0.48083,0.76624,0.54901,0.57061,0.18248,1.2708,1.2928,0.86031,0.81436,0.008713,0.008713,0.008713
